Player,Team,Goals,Assists,Matches Played,Goals per Match
Robert Lewandowski,FC Barcelona,7,,6,1.1666666666666667
Sehrou Guirassy,Borussia Dortmund,6,2.0,6,1.0
Raphinha,FC Barcelona,6,3.0,6,1.0
Viktor Gyökeres,Sporting Clube de Portugal,5,,6,0.8333333333333334
Harry Kane,FC Bayern München,5,1.0,5,1.0
Florian Wirtz,Bayer 04 Leverkusen,5,1.0,6,0.8333333333333334
Erling Haaland,Manchester City FC,5,,6,0.8333333333333334
Vinicius Junior,Real Madrid CF,5,1.0,5,1.0
Michael Olise,FC Bayern München,4,1.0,6,0.6666666666666666
Jamie Bynoe-Gittens,Borussia Dortmund,4,,6,0.6666666666666666
