Position,Team,Played Games,Won,Draw,Lost,Points,Goals For,Goals Against,Goal Difference,Points per Game
1,Liverpool FC,6,6,0,0,18,13,1,12,3.0
2,FC Barcelona,6,5,0,1,15,21,7,14,2.5
3,Arsenal FC,6,4,1,1,13,11,2,9,2.1666666666666665
4,Bayer 04 Leverkusen,6,4,1,1,13,12,5,7,2.1666666666666665
5,Aston Villa FC,6,4,1,1,13,9,3,6,2.1666666666666665
6,FC Internazionale Milano,6,4,1,1,13,7,1,6,2.1666666666666665
7,Stade Brestois 29,6,4,1,1,13,10,6,4,2.1666666666666665
8,Lille OSC,6,4,1,1,13,10,7,3,2.1666666666666665
9,Borussia Dortmund,6,4,0,2,12,18,9,9,2.0
10,FC Bayern München,6,4,0,2,12,17,8,9,2.0
11,Club Atlético de Madrid,6,4,0,2,12,14,10,4,2.0
12,AC Milan,6,4,0,2,12,12,9,3,2.0
13,Atalanta BC,6,3,2,1,11,13,4,9,1.8333333333333333
14,Juventus FC,6,3,2,1,11,9,5,4,1.8333333333333333
15,Sport Lisboa e Benfica,6,3,1,2,10,10,7,3,1.6666666666666667
16,AS Monaco FC,6,3,1,2,10,12,10,2,1.6666666666666667
17,Sporting Clube de Portugal,6,3,1,2,10,11,9,2,1.6666666666666667
18,Feyenoord Rotterdam,6,3,1,2,10,14,15,-1,1.6666666666666667
19,Club Brugge KV,6,3,1,2,10,6,8,-2,1.6666666666666667
20,Real Madrid CF,6,3,0,3,9,12,11,1,1.5
21,Celtic FC,6,2,3,1,9,10,10,0,1.5
22,Manchester City FC,6,2,2,2,8,13,9,4,1.3333333333333333
23,PSV,6,2,2,2,8,10,8,2,1.3333333333333333
24,GNK Dinamo Zagreb,6,2,2,2,8,10,15,-5,1.3333333333333333
25,Paris Saint-Germain FC,6,2,1,3,7,6,6,0,1.1666666666666667
26,VfB Stuttgart,6,2,1,3,7,9,12,-3,1.1666666666666667
27,FK Shakhtar Donetsk,6,1,1,4,4,5,13,-8,0.6666666666666666
28,AC Sparta Praha,6,1,1,4,4,7,18,-11,0.6666666666666666
29,SK Sturm Graz,6,1,0,5,3,4,9,-5,0.5
30,Girona FC,6,1,0,5,3,4,10,-6,0.5
31,FK Crvena Zvezda,6,1,0,5,3,10,19,-9,0.5
32,FC Red Bull Salzburg,6,1,0,5,3,3,18,-15,0.5
33,Bologna FC 1909,6,0,2,4,2,1,7,-6,0.3333333333333333
34,RB Leipzig,6,0,0,6,0,6,13,-7,0.0
35,ŠK Slovan Bratislava,6,0,0,6,0,5,21,-16,0.0
36,BSC Young Boys,6,0,0,6,0,3,22,-19,0.0
